Year ,tn ,An,An (in millions)
1950,0,39728535,39.73
1951,1,40548590,40.55
1952,2,41426885,41.43
1953,3,42329279,42.33
1954,4,43282032,43.28
1955,5,44315548,44.32
1956,6,45407666,45.41
1957,7,46560522,46.56
1958,8,47742791,47.74
1959,9,49004963,49.00
1960,10,50396429,50.40
1961,11,51882769,51.88
1962,12,53461661,53.46
1963,13,55094115,55.09
1964,14,56774465,56.77
1965,15,58500159,58.50
1966,16,60265259,60.27
1967,17,62104488,62.10
1968,18,63995652,64.00
1969,19,65866908,65.87
1970,20,67541860,67.54
1971,21,68376204,68.38
1972,22,69346705,69.35
1973,23,71144818,71.14
1974,24,72947807,72.95
1975,25,74700345,74.70
1976,26,76380080,76.38
1977,27,78137788,78.14
1978,28,80007550,80.00
1979,29,81908151,81.91
1980,30,83929765,83.93
1981,31,86154836,86.15
1982,32,88555336,88.56
1983,33,91045478,91.05
1984,34,93534239,93.53
1985,35,95959099,95.96
1986,36,98271746,98.27
1987,37,100490256,100.5
1988,38,102688833,102.7
1989,39,104893674,104.9
1990,40,107147651,107.1
1991,41,109242834,109.2
1992,42,111272102,111.2
1993,43,113418757,113.4
1994,44,115614891,115.6
1995,45,117793338,117.8
1996,46,119876868,119.9
1997,47,122039226,122.0
1998,48,124350471,124.3
1999,49,126754824,126.8
2000,50,129193327,129.2
2001,51,131670484,131.7
2002,52,134139826,134.1
2003,53,136503206,136.5
2004,54,138789725,138.8
2005,55,140912590,140.9
2006,56,142628831,142.6
2007,57,144135934,144.1
2008,58,145421318,145.4
2009,59,146706810,146.7
2010,60,148391139,148.4
2011,61,150211005,150.2
2012,62,152090649,152.1
2013,63,154030139,154.0
2014,64,155961299,156.0
2015,65,157830000,157.8
2016,66,159784568,159.8
2017,67,161793964,161.8
2018,68,163683958,163.7
2019,69,165516222,165.5
2020,70,167420951,167.4
2021,71,169356251,169.4
2022,72,171186372,171.2
2023,73,172954319,173.0
2024,74,174701211,174.7
